ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AZE,Azerbaijan,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11652.861328125,12527.4697265625,14175.8515625,15037.31640625,17030.796875,18403.056640625,22319.154296875,27512.693359375,32781.45703125,36249.25390625,38165.19140625,40312.375,45600.87109375,55274.24609375,65043.11328125,73608.9296875,80156.9375,82784.8359375,86783.4765625,89479.1171875,95104.546875,109062.1953125,136702.3125,182596.953125,190075.65625,213452.890625,225470.6875,241139.5625,298562.0625,360851.9375,429795.40625,493571.0625,509415.53125,521924
BDI,Burundi,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,5957.220703125,5857.09521484375,5802.44775390625,5717.3603515625,5633.64013671875,5567.201171875,5548.794921875,5548.40869140625,5578.32568359375,5607.5537109375,5540.52685546875,5570.21875,5621.921875,5563.9775390625,5617.67822265625,5770.11083984375,5857.08544921875,6155.9736328125,6548.11767578125,6951.54931640625,7275.8828125,7726.90869140625,8267.9365234375,8771.65625,9277.853515625,9805.455078125,10288.1767578125,10815.876953125,11200.0712890625,11380.978515625,11488.384765625,11400.109375,11429.005859375,11486.27734375,11397.10546875,11294.515625,11268.6083984375,11137.16796875,11187.6328125,11429.7685546875,11741.6513671875,11834.681640625,12086.4990234375,12496.8818359375,13147.93359375,13872.02734375,14117.443359375,13953.9521484375,13746.865234375,13871.365234375,14179.04296875,14502.615234375,13574.1650390625,13231.98046875,14415.1806640625,15089.345703125,17413.9375,19482.380859375,21347.556640625,22611.150390625,23292.8984375,28384.6640625,29178.771484375,29873.900390625
BEL,Belgium,cn,Capital stock at current PPPs (in mil. 2021US$),385456.625,392945.84375,401285.25,409365.71875,420635.75,430744.3125,444561.03125,456625.96875,464015.90625,475541.9375,488752.375,506010.65625,524394.0625,541743.25,566403.5625,589735.0625,616140.8125,641602.4375,666156.75,695194.3125,727124.4375,765226,807231.25,862670.8125,919360.0625,964797.4375,989775.8125,992880.875,989018.5625,989918.875,1002050.875,992692.1875,973249.1875,942569.4375,924836.75,924194.1875,933309.6875,951239.9375,989990.0625,1040582.5,1101570.375,1162611.625,1220760.25,1274621,1320178.75,1365821.375,1381916.125,1367629.5,1361927,1383247.5,1393904.375,1401299.125,1390190.375,1467926.375,1542567.875,1623425,1818286.5,1995065.5,2238685.5,2443311.75,2741643.25,2827305,2993714,3232709.25,3093577.75,3204522.25,3319351,3406328.75,3568711.75,3690956.5,3824909.25,3814143.5,3910313.25,3989255.5
BEN,Benin,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,2338.10131835938,2685.94262695313,3009.5625,3310.98999023438,3634.24462890625,3893.70703125,4119.7685546875,4355.4619140625,4731.13818359375,5135.17724609375,5548.47802734375,5897.404296875,6244.431640625,6797.6328125,7220.77294921875,7713.43505859375,8150.81103515625,8403.927734375,8629.150390625,8804.0009765625,9289.8681640625,9822.9404296875,10308.1181640625,11228.37109375,11486.884765625,11583.125,11562.5517578125,11818.2509765625,12427.396484375,13266.4150390625,14403.8955078125,16072.263671875,18171.08984375,20945.357421875,24378.767578125,28344.84375,31941.71484375,34119.94921875,35396.05078125,36793.60546875,38258.57421875,39722.49609375,41754.5234375,43685.421875,45783.8203125,47756.3671875,49507.703125,51097.484375,53263.83984375,55683.72265625,58760.72265625,62395.66015625,65820.9921875,66121.9296875,67801.9921875,72329.1015625,72196.171875,77715.671875,83505.109375,92571.8515625,97367.375,110010.6875,125896.8984375,139658.796875,154330.5
BFA,Burkina Faso,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,2779.94360351563,2783.17724609375,2809.51000976563,2855.98999023438,2890.53051757813,2930.46459960938,3030.97387695313,3130.2275390625,3212.17822265625,3299.48291015625,3427.11889648438,3556.28393554688,4133.87060546875,4447.12451171875,4830.47021484375,5290.623046875,5622.83544921875,5955.23291015625,6264.14208984375,6598.90576171875,7607.21533203125,8419.841796875,9267.7919921875,10167.896484375,10884.6201171875,11526.4091796875,12557.4072265625,13601.1875,14668.4150390625,15722.2431640625,16943.20703125,17945.337890625,19136.037109375,20275.052734375,21378.806640625,22867.740234375,24018.220703125,25316.4140625,26825.193359375,28289.70703125,29485.4140625,30598.01171875,31662.947265625,32878.3046875,34394.23046875,36242.38671875,38336.50390625,41032.22265625,44894.06640625,49515.59765625,55228.09765625,61340.328125,66906.0625,68060.8125,74307.1640625,72233.2734375,70173.140625,77807.671875,86872.171875,87274.1171875,85137.9296875,89022.109375,99150.890625,104767.828125,109766.9921875
BGD,Bangladesh,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,51794.36328125,51029.3671875,50851.94140625,51979.859375,52382.9296875,53426.49609375,54792.40625,56241.15625,58125.7578125,61334.55078125,64005.73828125,66567.84375,67609.0546875,66752.984375,67401.375,72716.1171875,75873.8359375,80002.0390625,85614.328125,93195.4609375,101524.484375,112066.8515625,123120.5390625,131693.625,139632.890625,148143.40625,156843.203125,173515.703125,185463.59375,197803.59375,212229.5625,228460.40625,244437.0625,263606.59375,286840.1875,312530.53125,339751.53125,368630.5,392135.125,409010.78125,424286.6875,440943.5625,461950.09375,489877.09375,524367.5,571041.5,632648.625,713452.5625,819911.6875,960078,1129594,1318479.5,1512832.5,1688181.75,1888942.25,2120665.75,2386992.25,2693894.25,2992743.5,3350765.25,3731504.5,4256866.5,4679440.5,5162544,5614778.5
BGR,Bulgaria,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,4229.201171875,5531.07470703125,6811.068359375,8111.35107421875,9432.96875,10810.0107421875,12170.474609375,13542.76953125,14927.142578125,16280.5693359375,18025.943359375,19790.486328125,21491.560546875,23091.580078125,24555.75,26123.71875,27785.953125,29508.873046875,31553.1484375,33488.69140625,34020.21484375,34057.87109375,35059.1484375,36602.1796875,41142.03125,44376.76953125,43988.6796875,49313.97265625,58749.9453125,70033.296875,77376.8515625,90413.1328125,101232.59375,92672.171875,106063.78125,129411.8515625,156496.078125,182691.625,222939.390625,260762.15625,323868.46875,334460.625,353256,366989.03125,384065.90625,403796.90625,408148.03125,451544.15625,460462,477210.59375,508802.03125,508341.59375,524815.625,541700.625
BHR,Bahrain,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,7518.85595703125,8165.45947265625,8810.0166015625,9685.7041015625,10727.6884765625,11128.724609375,12744.3134765625,14551.57421875,15610.3076171875,17154.53125,18607.43359375,19912.2421875,21585.841796875,24148.564453125,26851.248046875,27580.5703125,28318.556640625,28883.236328125,29705.033203125,30827.796875,31859.14453125,33311.65625,35082.02734375,37067.07421875,38640.23828125,39684.234375,40797.23046875,43205.8828125,47514.66015625,53270.1328125,62807.84765625,75955.3359375,96478.90625,124727.875,156333.421875,181576.421875,196216.9375,213743.6875,233021.234375,241492.1875,253356.484375,265744.84375,336170.28125,300808.5,315183.5,325668.9375,352106.78125,426395.4375,375457.625,424292.59375,494895.8125,462206.4375,488150.375,514556.21875
BHS,Bahamas,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,2858.78857421875,3135.72875976563,3375.115234375,3631.20434570313,3804.31640625,3913.7529296875,4041.45532226563,4215.92138671875,4370.7587890625,4685.4248046875,5195.08203125,5666.48681640625,6259.34716796875,6793.67529296875,7327.6337890625,8045.82861328125,8470.35546875,8653.5869140625,8474.8662109375,8764.541015625,8887.2080078125,8928.4541015625,9051.3798828125,9033.4208984375,9428.640625,10116.224609375,10876.7138671875,12327.5537109375,14308.1630859375,15926.607421875,18128.75390625,20404.021484375,22818.48046875,25345.45703125,28136.16796875,32528.73828125,38705.94921875,45771.3203125,53052.8359375,60121.265625,65806.484375,69538.453125,67431.6015625,69576.0234375,71730.03125,73509.0625,74583.90625,77483.171875,77895.4765625,77381.890625,77429.7578125,78775.28125,80090.9609375,81121.5703125
BIH,Bosnia and Herzegovina,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11207.9912109375,12000.7119140625,12543.28125,13223.0810546875,14114.2236328125,14213.3896484375,17706.671875,22411.96875,27382.8671875,31308.326171875,35220.734375,38989.04296875,43173.1484375,47311.0390625,51601.578125,57349.58984375,73003.46875,78097.71875,89488.6640625,97257.9609375,111722.9140625,128960.3203125,135215.203125,142923.28125,143969.109375,148386.546875,142553.75,156732.359375,170136.234375,173311.484375,180560.984375,170671.40625,178280.828125,186714.4375
